file_name,deployment,location,pollutant,timezone,start,end,header_type,,
SSL2_2024_1,C,,O3,PDT,7/11/2024 18:00,7/16/2024 0:00,whittier_modified,,
SSR9_2024_1,C,,CO2,UTC,7/11/2024 18:00,7/16/2024 0:00,whittier_modified,,
SSL2_2024_2,C,,O3,UTC,7/16/2024 0:01,7/30/2024 23:59,whittier_modified,,
SSR9_2024_2,C,,CO2,UTC,7/16/2024 0:01,7/30/2024 23:59,whittier_modified,,
SSL2_2024_3,C,,O3,UTC,8/1/2024 0:00,8/10/2024 0:00,whittier_modified,,
SSR9_2024_3,C,,CO2,UTC,8/1/2024 0:00,8/10/2024 0:00,whittier_modified,,
SSL6_2024_1,C,,noCO2,UTC,7/11/2024 18:00,7/16/2024 0:00,whittier_modified,,
SSL6_2024_2,C,,noCO2,UTC,7/16/2024 0:01,7/30/2024 23:59,whittier_modified,,
SSL6_2024_3,C,,noCO2,UTC,8/1/2024 0:00,8/10/2024 0:00,whittier_modified,,
SSL6_2024_1_harmon,H,,,UTC,7/11/2024 18:00,7/16/2024 0:00,whittier_modified,,
SSL6_2024_2_harmon,H,,,UTC,7/16/2024 0:01,7/30/2024 23:59,whittier_modified,,
SSL6_2024_3_harmon,H,,,UTC,8/1/2024 0:00,8/10/2024 0:00,whittier_modified,,
SSL2_2024_1_harmon,H,,,PDT,7/11/2024 18:00,7/16/2024 0:00,whittier_modified,,
SSR9_2024_1_harmon,H,,,UTC,7/11/2024 18:00,7/16/2024 0:00,whittier_modified,,
SSL2_2024_2_harmon,H,,,UTC,7/16/2024 0:01,7/30/2024 23:59,whittier_modified,,
SSR9_2024_2_harmon,H,,,UTC,7/16/2024 0:01,7/30/2024 23:59,whittier_modified,,
SSL2_2024_3_harmon,H,,,UTC,8/1/2024 0:00,8/10/2024 0:00,whittier_modified,,
SSR9_2024_3_harmon,H,,,UTC,8/1/2024 0:00,8/10/2024 0:00,whittier_modified,,
YPODA2_2024_1_harmon,H,,,PST,7/11/2024 18:00,7/16/2024 0:00,whittier_modified,,
YPODG5_2024_1_harmon,H,,,UTC,7/11/2024 18:00,7/16/2024 0:00,whittier_modified,,#no data for this section of colocation
YPODL1_2024_1_harmon,H,,,PDT,7/11/2024 18:00,7/16/2024 0:00,whittier_modified,,
YPODL2_2024_1_harmon,H,,,PDT,7/11/2024 18:00,7/16/2024 0:00,whittier_modified,,
YPODL6_2024_1_harmon,H,,,UTC,7/11/2024 18:00,7/16/2024 0:00,whittier_modified,,
YPODL9_2024_1_harmon,H,,,PDT,7/11/2024 18:00,7/16/2024 0:00,whittier_modified,,
YPODR9_2024_1_harmon,H,,,UTC,7/11/2024 18:00,7/16/2024 0:00,whittier_modified,,
YPODA2_2024_2_harmon,H,,,UTC,7/16/2024 0:01,7/30/2024 23:59,whittier_modified,,
YPODG5_2024_2_harmon,H,,,UTC,7/16/2024 0:01,7/30/2024 23:59,whittier_modified,,
YPODL1_2024_2_harmon,H,,,UTC,7/16/2024 0:01,7/30/2024 23:59,whittier_modified,,
YPODL2_2024_2_harmon,H,,,UTC,7/16/2024 0:01,7/30/2024 23:59,whittier_modified,,
YPODL6_2024_2_harmon,H,,,UTC,7/16/2024 0:01,7/30/2024 23:59,whittier_modified,,
YPODL9_2024_2_harmon,H,,,PDT,7/16/2024 0:01,7/30/2024 23:59,whittier_modified,,
YPODR9_2024_2_harmon,H,,,UTC,7/16/2024 0:01,7/30/2024 23:59,whittier_modified,,
YPODA2_2024_3_harmon,H,,,UTC,8/1/2024 0:00,8/10/2024 0:00,whittier_modified,,
YPODG5_2024_3_harmon,H,,,UTC,8/1/2024 0:00,8/10/2024 0:00,whittier_modified,,
YPODL1_2024_3_harmon,H,,,UTC,8/1/2024 0:00,8/10/2024 0:00,whittier_modified,,
YPODL2_2024_3_harmon,H,,,UTC,8/1/2024 0:00,8/10/2024 0:00,whittier_modified,,
YPODL6_2024_3_harmon,H,,,UTC,8/1/2024 0:00,8/10/2024 0:00,whittier_modified,,
YPODL9_2024_3_harmon,H,,,UTC,8/1/2024 0:00,8/10/2024 0:00,whittier_modified,,
YPODR9_2024_3_harmon,H,,,UTC,8/1/2024 0:00,8/10/2024 0:00,whittier_modified,,
YPODA2_Field2025,F,W1,,UTC,8/20/2024 0:00,7/30/2025 23:59,whittier_modified,,
YPODG5_Field2025,F,W2,,UTC,8/20/2024 0:00,7/30/2025 23:59,whittier_modified,,
YPODL1_Field2025,F,W3,,UTC,8/20/2024 0:00,7/30/2025 23:59,whittier_modified,,
YPODL2_Field2025,F,W4,,UTC,8/20/2024 0:00,7/30/2025 23:59,whittier_modified,,
YPODL9_Field2025,F,W5,,UTC,8/20/2024 0:00,7/30/2025 23:59,whittier_modified,,
YPODR9_Field2025,F,W6,,UTC,8/20/2024 0:00,7/30/2025 23:59,whittier_modified,,
